dv_spec,friction,fiscal,trend,fxf,fxf_p
Weighted (primary),0.6995316069463876,-0.045121670160447956,-2.682477000468435,-0.4121921696142826,0.054868665652514526
Equal weight,51.55719337487521,-86.43615287928269,-91.79899367989618,-4.115651504202232,
Raw count (capped),0.5272942999999043,0.12697627459519095,-1.4656524299340212,0.18851833297734333,0.22769338682657958
Financial only,-0.059564556235156094,-0.670902195858406,-1.183273188014606,-0.6095556415058545,0.02109245080347006
